Country,Stadium,Players,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AUS,Adelaide Oval,V Kohli,4,4,0,244,107,61,291,83.84,2,0,0,15,2
AUS,Adelaide Oval,G Gambhir,2,2,0,183,92,91.5,217,84.33,0,2,0,13,0
AUS,Adelaide Oval,MS Dhoni,4,4,3,175,58,175,194,90.2,0,2,0,4,5
AUS,Adelaide Oval,SK Raina,3,3,0,120,74,40,105,114.28,0,1,0,8,4
AUS,Adelaide Oval,RG Sharma,4,4,0,106,43,26.5,140,75.71,0,0,0,7,3
AUS,Adelaide Oval,S Dhawan,2,2,0,105,73,52.5,104,100.96,0,1,0,12,1
AUS,Adelaide Oval,KD Karthik,1,1,1,25,25,NaN,14,178.57,0,0,0,2,0
AUS,Adelaide Oval,AT Rayudu,1,1,0,24,24,24,36,66.66,0,0,0,2,0
AUS,Adelaide Oval,V Sehwag,1,1,0,20,20,20,21,95.23,0,0,0,3,0
AUS,Adelaide Oval,RA Jadeja,4,3,0,18,12,6,23,78.26,0,0,0,0,0
AUS,Adelaide Oval,R Ashwin,3,3,2,16,14,16,16,100,0,0,0,1,0
AUS,Adelaide Oval,SR Tendulkar,1,1,0,15,15,15,24,62.5,0,0,0,2,0
AUS,Adelaide Oval,IK Pathan,1,1,0,8,8,8,5,160,0,0,0,0,1
AUS,Adelaide Oval,Mohammed Shami,2,1,1,3,3,NaN,3,100,0,0,0,0,0
AUS,Adelaide Oval,R Vinay Kumar,2,1,0,1,1,1,2,50,0,0,0,0,0
AUS,Adelaide Oval,AM Rahane,1,1,0,0,0,0,1,0,0,0,1,0,0
AUS,Adelaide Oval,UT Yadav,3,1,1,0,0,NaN,0,NaN,0,0,0,0,0
AUS,Adelaide Oval,Z Khan,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,Kuldeep Yadav,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,B Kumar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,Mohammed Siraj,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,MM Sharma,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Brisbane Cricket Ground,V Kohli,4,4,0,141,66,35.25,183,77.04,0,2,0,6,0
AUS,Brisbane Cricket Ground,RG Sharma,2,2,0,124,124,62,132,93.93,1,0,1,11,3
AUS,Brisbane Cricket Ground,AM Rahane,2,2,0,122,89,61,120,101.66,0,1,0,7,2
AUS,Brisbane Cricket Ground,MS Dhoni,3,3,0,101,56,33.66,155,65.16,0,1,0,3,1
AUS,Brisbane Cricket Ground,IK Pathan,2,2,0,66,47,33,61,108.19,0,0,0,8,1
AUS,Brisbane Cricket Ground,SK Raina,3,3,0,61,32,20.33,99,61.61,0,0,0,2,1
AUS,Brisbane Cricket Ground,STR Binny,1,1,0,44,44,44,55,80,0,0,0,3,2
AUS,Brisbane Cricket Ground,RA Jadeja,3,3,0,40,18,13.33,61,65.57,0,0,0,2,0
AUS,Brisbane Cricket Ground,G Gambhir,2,2,0,34,29,17,39,87.17,0,0,0,5,0
AUS,Brisbane Cricket Ground,SR Tendulkar,2,2,0,25,22,12.5,35,71.42,0,0,0,3,0
AUS,Brisbane Cricket Ground,AT Rayudu,1,1,0,23,23,23,53,43.39,0,0,0,2,0
AUS,Brisbane Cricket Ground,Z Khan,1,1,0,9,9,9,11,81.81,0,0,0,2,0
AUS,Brisbane Cricket Ground,S Dhawan,2,2,0,7,6,3.5,9,77.77,0,0,0,1,0
AUS,Brisbane Cricket Ground,R Ashwin,2,2,0,6,5,3,8,75,0,0,0,0,0
AUS,Brisbane Cricket Ground,MK Pandey,1,1,0,6,6,6,5,120,0,0,0,1,0
AUS,Brisbane Cricket Ground,R Vinay Kumar,2,2,0,6,6,3,16,37.5,0,0,1,0,0
AUS,Brisbane Cricket Ground,UT Yadav,4,4,4,6,6,NaN,8,75,0,0,0,1,0
