Country,Stadium,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
AUS,Adelaide Oval,Mohammed Shami,2,2,19,1,93,7,13.28,4.89,16.2,1,0
AUS,Adelaide Oval,R Vinay Kumar,2,2,20,2,104,5,20.8,5.2,24,0,0
AUS,Adelaide Oval,B Kumar,1,1,10,0,45,4,11.25,4.5,15,1,0
AUS,Adelaide Oval,UT Yadav,3,3,29,1,150,4,37.5,5.17,43.5,0,0
AUS,Adelaide Oval,R Ashwin,3,3,26,4,118,3,39.33,4.53,52,0,0
AUS,Adelaide Oval,RA Jadeja,4,4,40,1,213,2,106.5,5.32,120,0,0
AUS,Adelaide Oval,MM Sharma,1,1,9,0,35,2,17.5,3.88,27,0,0
AUS,Adelaide Oval,Z Khan,1,1,10,0,46,1,46,4.6,60,0,0
AUS,Adelaide Oval,IK Pathan,1,1,9,0,38,1,38,4.22,54,0,0
AUS,Adelaide Oval,Kuldeep Yadav,1,1,10,0,66,0,NaN,6.6,NaN,0,0
AUS,Adelaide Oval,Mohammed Siraj,1,1,10,0,76,0,NaN,7.6,NaN,0,0
AUS,Adelaide Oval,SK Raina,3,1,1,0,6,0,NaN,6,NaN,0,0
AUS,Adelaide Oval,RG Sharma,4,2,4,0,25,0,NaN,6.25,NaN,0,0
AUS,Adelaide Oval,S Dhawan,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,MS Dhoni,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,G Gambhir,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,KD Karthik,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,V Kohli,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,AM Rahane,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,AT Rayudu,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,V Sehwag,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Adelaide Oval,SR Tendulkar,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,Brisbane Cricket Ground,IK Pathan,2,2,20,0,115,5,23,5.75,24,0,0
AUS,Brisbane Cricket Ground,R Ashwin,2,2,20,0,110,2,55,5.5,60,0,0
AUS,Brisbane Cricket Ground,UT Yadav,4,4,31,0,220,2,110,7.09,93,0,0
AUS,Brisbane Cricket Ground,STR Binny,1,1,7,0,34,1,34,4.85,42,0,0
AUS,Brisbane Cricket Ground,RA Jadeja,3,2,19,0,93,1,93,4.89,114,0,0
AUS,Brisbane Cricket Ground,Z Khan,1,1,10,0,46,1,46,4.6,60,0,0
AUS,Brisbane Cricket Ground,SK Raina,3,3,12,0,61,1,61,5.08,72,0,0
